method,event_id,set_idx,target,camera_id,raw_samples,accepted_samples,accepted_ratio,signed_median_mm,abs_median_mm,signed_rmse_mm,abs_p95_mm,centroid_base_m
A4,54,9,cube,3,295,295,1.0,-9.875139626718394,10.55814262591437,10.674226348712626,13.511743125494094,"[-0.42515184406087597, 0.3644911608172647, 0.007201517511546345]"
A4,72,12,board,0,678,678,1.0,6.593981071135188,6.593981071135188,6.965658874835762,10.034113873869927,"[-0.2815625505991144, 0.4643304468331958, -0.022833375296589187]"
A4,72,12,cube,0,270,270,1.0,-1.625416074783657,2.6548954610737336,3.1483752138060117,5.565015592585152,"[-0.22989393392706958, 0.28251910678942577, 0.01533530161939846]"
A4,72,12,board,1,602,602,1.0,-5.782215164361366,5.782215164361366,5.8287000807205525,7.250997550205141,"[-0.2851661834720611, 0.4307484739705899, -0.021773343444964108]"
A4,72,12,cube,1,397,397,1.0,7.251123580587544,7.251123580587544,7.011963749947757,8.703770736558042,"[-0.2504955311087581, 0.2660529045296789, 0.012376888987723869]"
A4,72,12,board,2,1187,1187,1.0,12.313490218123052,12.313490218123052,14.592543931664594,24.259378198348507,"[-0.27601262046757924, 0.4534255815483534, -0.0026114081259739127]"
A4,72,12,cube,2,245,245,1.0,3.54807224828491,4.958021538198193,5.490664662371609,8.607413616118688,"[-0.22083124296594112, 0.274423647885707, 0.032733395942217615]"
A4,72,12,board,3,529,529,1.0,8.000287059861698,8.000287059861698,8.079968465687148,9.7703420190264,"[-0.2779186595197426, 0.5026426323739706, -0.024448986601763856]"
A4,72,12,cube,3,173,173,1.0,16.07613768190983,16.07613768190983,16.061267666293936,20.058071891950277,"[-0.24453134166606047, 0.27779330435000854, 0.008150837810134905]"
A5,24,4,board,0,546,546,1.0,5.625097457921445,5.625097457921445,6.0694499652204925,9.40860583632134,"[-0.27387457180096253, 0.48423103352391267, -0.022169595171654982]"
A5,24,4,cube,0,273,273,1.0,7.745373901880698,7.93335193172336,8.147187401348829,10.382212507372742,"[-0.21940015049495265, 0.6361835896926533, 0.00713695174766928]"
A5,24,4,board,1,451,451,1.0,5.604170157663756,5.604170157663756,5.641834541920504,6.985298840182368,"[-0.28709690987533604, 0.40483450744603416, -0.022028849906879377]"
A5,24,4,cube,1,156,156,1.0,10.880764145889886,10.880764145889886,10.635889242629434,13.153118991972457,"[-0.23098119976258188, 0.6308014965738173, 0.009491175400043171]"
A5,24,4,board,2,1196,1196,1.0,-3.607444394232766,3.611689192126174,6.260588701736951,12.0710334749716,"[-0.2681911433030838, 0.4476906808256066, -0.012068221054677268]"
A5,24,4,cube,2,201,201,1.0,-9.980038087104223,10.028007855733742,9.45104567808257,12.729909890147557,"[-0.20480503502124403, 0.6140240875086788, 0.023587400942762862]"
